End Semester Exam Timetable 2019-20 Semester I,,,,,,,,
Date,Time,Course Code,Course Name,Number of Students,Room No. ,Seating Capacity,Roll Number,
,,,,,,,,
,,,,,,,,
H,,,,,,,,
"Saturday, November 30, 2019","9:30 AM 
– 
12:00 noon",MA 201,Mathematics III,192,"1/101
1/103","75
140","15110060-18110067
18110068-18110194",
,,CE 303,Geospatial Engineering,23,7/102,25,13110081-17110180,
,,ES 331,Probability and Random Processes ,44,1/201,75,14110141-18350001,
,,ES 616,Digital Control Systems,21,7/202,25,14110013-19310033,
,,EE 644,Physics of Transistors,19,7/201,20,16110181-19310031,
,,CH 615,Electrochemistry,114,"7/208
7/209
7/210","50
50
20","14110083-16110169
16110179-18510055
18510056-19310013",
,,MA 630,Probability Theory,9,7/206,20,18310041-18510095,
,,BE 614,Biostatistics ,31,"7/110
7/101","20
20","15310031-19210007
19210008-19310002",
,,HS 425,Introduction to Archaeology,60,1/102,75,14310028-19350005,
,,,,,,,,
,,,,,,,,
,,,,513,,,,
,,,,,,,,
,,,,,,,,
J,,,,,,,,
"Saturday, November 30, 2019","2:00 PM
 – 
 4:30 PM",ES 635,Water Quality Engineering,18,7/201,20,16510001-19210063,
,,MS 410,Medical Products Industry: Quality and Regulations,15,7/110,20,15110099-18510025,
,,CL 605,Colloidal Domain: Where Science meets Engineering,10,7/203,25,16110156-19350002,
,,CH 506,Physical Organic Chemistry ,26,"7/102
7/103","20
20","18310030-19510014
19510016-19510021",
,,CE 622,Structural Dynamics,7,7/206,20,19210031-19350003,
,,CS 612,Computer Systems ,11,7/210,20,18210103-19310024,
,,MA 627,Algebraic Topology,27,7/209,50,17510080-18510095,
,,PH 508,Classical Mechanics,37,7/208,50,15110045-19510097,
,,MSE 603,Thin Film Processing and characterization,11,7/207,20,16110038-19310054,
,,,,162,,,,
,,,,,,,,
C,,,,,,,,
"Sunday, December 1, 2019","9:30 AM 
– 
12:00 noon",ES 101,Engineering Graphics,206,"1/101
1/102
1/201","75
75
75","16110089-19110076
19110077-19110154
19110155-19110209",
,,ES 211,"Thermodynamics (CL, ME & MSE)",90,"7/108
7/109","70
70","16110037-18110099
18110101-18110192",
,,EE 221,Electronic Devices,41,"7/102
7/103","25
20","16110121-18110127
18110138-19310030",
,,CE 302,Structural Analysis,24,7/107,25,17110009-19120002,
,,,,,,,,
,,ME 321,Mechanics of Deformable Bodies,37,7/209,50,14110152-17110178,
,,MSE 304,Principles of Metal Extraction and Refining,25,"7/204
7/205","20
20","15110060-17110154
17110159-17110182",
,,CG 503,Fundamentals of Cognitive Psychology,16,7/106,20,18520019-19510037,
,,BE 303,Bionanotechnology - Principles and Applications,27,"7/206
7/207","20
20","15110074-19210008
19210009-19210018",
,,,,,,,,
,,PH 612,Introduction to Quantum Field Theory,9,7/201,,17510060-19310051,
,,CH 503,Fundamentals of Analytical Chemistry,45,"7/202
7/203","25
25","16110018-19210119
19510001-19510021",
,,MA 507,Ordinary Differential Equations,33,"7/104
7/105","20
20","18310064-19510056
19510057-19510066",
,,ME 606,Combustion (9:30Am to 1:30PM),12,7/110,20,16110050-19350008,
,,,,,7/101,20,16110150-19210113,
,,,,,,,,
,,,,565,,,,
